"Feature Type","Version","Status","Launch Date","Latest Date","Change"
"lus_fts_site","2.0","End Of Life","25 September 2024","13 February 2025","Major version increment adding new address, NLUD, Main Building ID, and Status attribution, as well as a cross reference table to Address."
"lus_fts_site","2.1","End Of Life","14 February 2025","26 March 2025","Minor version increment that removes Derelict Site from the Site Description Value Code List."
"lus_fts_site","2.2","End Of Life","27 March 2025","26 September 2025","Minor version increment that adds Beach, Military Training Area, and Wind Farm to the Site Description Value Code List."
"lus_fts_site","2.3","Latest","27 September 2025","Ongoing","Minor version increment that adds Derelict Site to the Site Description Value Code List."
"lus_fts_siteaccesslocation","1.0","End Of Life","03 October 2022","27 July 2025","Initial launch of the Site Access Location Feature Type."
"lus_fts_siteaccesslocation","1.1","Maintenance","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"lus_fts_siteaccesslocation","2.0","Latest","27 March 2025","Ongoing","Major version increment adding new Access Purpose, Accessed Network Node Feature Type, Accessed Network Node ID, and Distance To Network Node attribution."
"lus_fts_siteroutingpoint","1.0","End Of Life","03 October 2022","25 April 2023","Initial launch of the Site Routing Point Feature Type."
"str_fts_compoundstructure","1.0","End Of Life","29 September 2022","24 September 2024","Initial launch of the Compound Structure Feature Type."
"str_fts_compoundstructure","1.1","Maintenance","25 September 2024","Ongoing","Minor version increment adding classification values for Tunnels."
"str_fts_compoundstructure","2.0","Maintenance","25 September 2024","Ongoing","Major version increment adding new Network Over attribution, Network Under attribution and classification values for Tunnels."
"str_fts_compoundstructure","3.0","Latest","26 March 2026","Ongoing","Major version increment adding a Related Entity Related Component; adding Geometry Capture Method and Description Capture Method attribution; retiring the four Name Source attributes, and retiring the Geometry Source and Description Source attributes. Operational Status attribute was renamed to Status, and the attribute length was changed from 10 to 20 to allow for 'Under Construction'."
"str_fts_fieldboundary","1.0","Latest","27 March 2024","Ongoing","Initial launch of the Filed Boundary Feature Type."
"str_fts_structure","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Structure Feature Type."
"str_fts_structure","2.0","Maintenance","27 March 2024","Ongoing","Major version increment adding the Habitat Coverage cross-reference table."
"str_fts_structure","3.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site."
"str_fts_structure","3.1","Latest","27 March 2025","Ongoing","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"str_fts_structureline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Structure Line Feature Type."
"str_fts_structurepoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Structure Point Feature Type."
"trn_fts_cartographicraildetail","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Cartographic Rail Detail Feature Type."
"trn_fts_rail","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Rail Feature Type."
"trn_fts_rail","2.0","Maintenance","27 March 2024","Ongoing","Major version increment adding the Habitat Coverage cross-reference table."
"trn_fts_rail","3.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site."
"trn_fts_rail","3.1","Latest","27 March 2025","Ongoing","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"trn_fts_roadline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Road Line Feature Type."
"trn_fts_roadtrackorpath","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Road Track Or Path Feature Type."
"trn_fts_roadtrackorpath","2.0","Maintenance","27 March 2024","Ongoing","Major version increment adding the Habitat Coverage cross-reference table."
"trn_fts_roadtrackorpath","3.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site."
"trn_fts_roadtrackorpath","3.1","End Of Life","27 March 2025","02 March 2026","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"trn_fts_roadtrackorpath","3.2","Latest","03 March 2026","Ongoing","Minor version increment. Update to the OS Land Cover Tier A attribute to make it filterable in OS Select+Build."
"trn_fts_streetlight","1.0","Latest","27 March 2025","Ongoing","Initial launch of the Street Light Feature Type."
"trn_ntwk_buslane","1.0","Latest","25 September 2025","Ongoing","Initial launch of the Bus Lane Feature Type."
"trn_ntwk_connectinglink","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Connecting Link Feature Type."
